Date,Time [GMT],AT
12/05/2019,22:00,5.7
12/05/2019,23:00,7.3
13/05/2019,0:00,5.9
13/05/2019,1:00,3.0
13/05/2019,2:00,4.8
13/05/2019,3:00,4.4
14/05/2019,9:00,2.1
14/05/2019,10:00,2.3
14/05/2019,11:00,6.9
15/05/2019,7:00,14.2
15/05/2019,8:00,7.9
15/05/2019,9:00,3.7
15/05/2019,10:00,3.9
15/05/2019,11:00,0.6
15/05/2019,16:00,0.8
15/05/2019,23:00,5.7
16/05/2019,0:00,4.7
16/05/2019,1:00,8.1
24/05/2019,16:00,11.3
24/05/2019,17:00,4.3
24/05/2019,18:00,3.6
24/05/2019,19:00,3.7
24/05/2019,20:00,1.4
24/05/2019,21:00,2.7
24/05/2019,22:00,6.5
24/05/2019,23:00,9.7
25/05/2019,0:00,16.9
25/05/2019,1:00,14.8
25/05/2019,2:00,14.4
25/05/2019,3:00,13.7
25/05/2019,4:00,10.7
25/05/2019,5:00,9.9
25/05/2019,6:00,15.9
25/05/2019,7:00,12.4
25/05/2019,8:00,5.4
25/05/2019,9:00,19.9
25/05/2019,10:00,16.4
25/05/2019,11:00,7.6
02/06/2019,8:00,9.6
02/06/2019,9:00,1.6
02/06/2019,10:00,8.8
03/06/2019,5:00,0.6
03/06/2019,6:00,2.6
03/06/2019,7:00,2.9
06/06/2019,3:00,0.3
11/06/2019,8:00,0.7
